data,categoria,unidades,preco_medio,receita
2022-01-30,Moda,503,191.12,96133.36
2022-01-31,Beleza,191,97.6,18641.6
2022-01-31,Casa & Jardim,153,250.5,38326.5
2022-01-31,Eletrônicos,212,792.14,167933.68
2022-01-31,Esportes,115,322.94,37138.1
2022-01-31,Moda,290,182.68,52977.2
2022-02-01,Beleza,128,93.8,12006.4
2022-02-01,Casa & Jardim,64,247.13,15816.32
2022-02-01,Eletrônicos,106,916.22,97119.32
2022-02-01,Esportes,48,307.51,14760.48
2022-02-01,Moda,140,185.63,25988.2
2022-02-02,Beleza,157,100.15,15723.55
2022-02-02,Casa & Jardim,72,257.09,18510.48
2022-02-02,Eletrônicos,109,782.75,85319.75
2022-02-02,Esportes,51,321.86,16414.86
2022-02-02,Moda,143,165.69,23693.67
2022-02-03,Beleza,143,95.77,13695.11
2022-02-03,Casa & Jardim,70,273.77,19163.9
2022-02-03,Eletrônicos,131,892.9,116969.9
2022-02-03,Esportes,61,316.78,19323.58
2022-02-03,Moda,152,188.47,28647.44
2022-02-04,Beleza,179,90.33,16169.07
2022-02-04,Casa & Jardim,94,261.31,24563.14
2022-02-04,Eletrônicos,156,886.89,138354.84
2022-02-04,Esportes,72,339.01,24408.72
2022-02-04,Moda,240,168.28,40387.2
2022-02-05,Beleza,206,88.14,18156.84
2022-02-05,Casa & Jardim,96,251.18,24113.28
2022-02-05,Eletrônicos,177,792.07,140196.39
2022-02-05,Esportes,63,345.54,21769.02
2022-02-05,Moda,220,184.1,40502.0
2022-02-06,Beleza,206,100.22,20645.32
2022-02-06,Casa & Jardim,80,264.0,21120.0
2022-02-06,Eletrônicos,140,899.38,125913.2
2022-02-06,Esportes,62,305.93,18967.66
2022-02-06,Moda,315,167.47,52753.05
2022-02-07,Beleza,112,95.71,10719.52
2022-02-07,Casa & Jardim,75,257.25,19293.75
2022-02-07,Eletrônicos,111,866.77,96211.47
2022-02-07,Esportes,68,307.56,20914.08
2022-02-07,Moda,208,181.75,37804.0
2022-02-08,Beleza,208,88.79,18468.32
2022-02-08,Casa & Jardim,136,253.51,34477.36
2022-02-08,Eletrônicos,176,824.29,145075.04
2022-02-08,Esportes,68,341.19,23200.92
2022-02-08,Moda,354,182.98,64774.92
2022-02-09,Beleza,256,90.24,23101.44
2022-02-09,Casa & Jardim,131,269.69,35329.39
2022-02-09,Eletrônicos,193,826.22,159460.46
2022-02-09,Esportes,91,313.26,28506.66
2022-02-09,Moda,333,173.37,57732.21
2022-02-10,Beleza,299,90.26,26987.74
2022-02-10,Casa & Jardim,142,273.35,38815.7
2022-02-10,Eletrônicos,225,902.66,203098.5
2022-02-10,Esportes,83,337.23,27990.09
2022-02-10,Moda,327,189.36,61920.72
2022-02-11,Beleza,324,87.67,28405.08
2022-02-11,Casa & Jardim,154,262.77,40466.58
2022-02-11,Eletrônicos,272,846.22,230171.84
2022-02-11,Esportes,92,327.72,30150.24
2022-02-11,Moda,311,167.29,52027.19
2022-02-12,Beleza,335,88.14,29526.9
2022-02-12,Casa & Jardim,188,255.82,48094.16
2022-02-12,Eletrônicos,276,885.47,244389.72
2022-02-12,Esportes,105,336.28,35309.4
2022-02-12,Moda,393,175.23,68865.39
2022-02-13,Beleza,370,92.37,34176.9
2022-02-13,Casa & Jardim,175,252.79,44238.25
2022-02-13,Eletrônicos,240,858.33,205999.2
2022-02-13,Esportes,142,296.36,42083.12
2022-02-13,Moda,420,188.31,79090.2
2022-02-14,Beleza,245,92.71,22713.95
2022-02-14,Casa & Jardim,124,263.2,32636.8
2022-02-14,Eletrônicos,193,853.09,164646.37
2022-02-14,Esportes,93,314.79,29275.47
2022-02-14,Moda,323,180.5,58301.5
2022-02-15,Beleza,190,87.8,16682.0
2022-02-15,Casa & Jardim,123,258.5,31795.5
2022-02-15,Eletrônicos,226,840.15,189873.9
2022-02-15,Esportes,103,319.85,32944.55
2022-02-15,Moda,243,175.05,42537.15
2022-02-16,Beleza,263,98.58,25926.54
2022-02-16,Casa & Jardim,155,240.55,37285.25
2022-02-16,Eletrônicos,200,824.75,164950.0
2022-02-16,Esportes,94,311.96,29324.24
2022-02-16,Moda,288,178.1,51292.8
2022-02-17,Beleza,289,98.67,28515.63
2022-02-17,Casa & Jardim,144,266.6,38390.4
2022-02-17,Eletrônicos,197,851.17,167680.49
2022-02-17,Esportes,112,301.48,33765.76
2022-02-17,Moda,301,182.83,55031.83
2022-02-18,Beleza,354,97.66,34571.64
2022-02-18,Casa & Jardim,135,246.38,33261.3
2022-02-18,Eletrônicos,225,837.81,188507.25
2022-02-18,Esportes,109,315.07,34342.63
2022-02-18,Moda,339,186.79,63321.81
2022-02-19,Beleza,302,89.32,26974.64
2022-02-19,Casa & Jardim,174,262.83,45732.42
2022-02-19,Eletrônicos,276,884.75,244191.0
2022-02-19,Esportes,90,329.15,29623.5
2022-02-19,Moda,348,183.92,64004.16
2022-02-20,Beleza,277,89.37,24755.49
2022-02-20,Casa & Jardim,177,273.26,48367.02
2022-02-20,Eletrônicos,236,908.44,214391.84
2022-02-20,Esportes,133,325.08,43235.64
2022-02-20,Moda,483,188.23,90915.09
2022-02-21,Beleza,263,102.03,26833.89
2022-02-21,Casa & Jardim,124,280.12,34734.88
2022-02-21,Eletrônicos,183,891.9,163217.7
2022-02-21,Esportes,92,335.74,30888.08
2022-02-21,Moda,280,189.79,53141.2
2022-02-22,Beleza,241,96.95,23364.95
2022-02-22,Casa & Jardim,97,241.29,23405.13
2022-02-22,Eletrônicos,209,891.3,186281.7
2022-02-22,Esportes,88,311.65,27425.2
2022-02-22,Moda,248,176.65,43809.2
2022-02-23,Beleza,253,96.8,24490.4
2022-02-23,Casa & Jardim,117,241.4,28243.8
2022-02-23,Eletrônicos,206,807.37,166318.22
2022-02-23,Esportes,86,323.56,27826.16
2022-02-23,Moda,370,170.91,63236.7
2022-02-24,Beleza,293,99.28,29089.04
2022-02-24,Casa & Jardim,127,248.62,31574.74
2022-02-24,Eletrônicos,208,891.81,185496.48
2022-02-24,Esportes,107,322.2,34475.4
2022-02-24,Moda,367,176.03,64603.01
2022-02-25,Beleza,314,88.25,27710.5
2022-02-25,Casa & Jardim,190,264.74,50300.6
2022-02-25,Eletrônicos,260,903.87,235006.2
2022-02-25,Esportes,98,337.04,33029.92
2022-02-25,Moda,350,174.2,60970.0
2022-02-26,Beleza,346,98.76,34170.96
2022-02-26,Casa & Jardim,183,254.14,46507.62
2022-02-26,Eletrônicos,244,813.0,198372.0
2022-02-26,Esportes,138,315.65,43559.7
2022-02-26,Moda,318,192.69,61275.42
2022-02-27,Beleza,302,97.13,29333.26
2022-02-27,Casa & Jardim,141,273.46,38557.86
2022-02-27,Eletrônicos,251,840.09,210862.59
2022-02-27,Esportes,127,311.14,39514.78
2022-02-27,Moda,366,190.73,69807.18
2022-02-28,Beleza,261,92.18,24058.98
2022-02-28,Casa & Jardim,125,253.79,31723.75
2022-02-28,Eletrônicos,201,782.95,157372.95
2022-02-28,Esportes,101,337.25,34062.25
2022-02-28,Moda,238,189.85,45184.3
2022-03-01,Beleza,249,98.23,24459.27
2022-03-01,Casa & Jardim,179,254.28,45516.12
2022-03-01,Eletrônicos,242,851.46,206053.32
2022-03-01,Esportes,115,345.37,39717.55
2022-03-01,Moda,371,178.8,66334.8
2022-03-02,Beleza,316,90.07,28462.12
2022-03-02,Casa & Jardim,151,247.9,37432.9
2022-03-02,Eletrônicos,210,798.3,167643.0
2022-03-02,Esportes,138,309.0,42642.0
2022-03-02,Moda,346,179.51,62110.46
2022-03-03,Beleza,314,101.31,31811.34
2022-03-03,Casa & Jardim,190,242.72,46116.8
2022-03-03,Eletrônicos,244,827.92,202012.48
2022-03-03,Esportes,130,306.65,39864.5
2022-03-03,Moda,380,178.18,67708.4
2022-03-04,Beleza,294,90.62,26642.28
2022-03-04,Casa & Jardim,158,274.18,43320.44
2022-03-04,Eletrônicos,285,852.56,242979.6
2022-03-04,Esportes,141,323.09,45555.69
2022-03-04,Moda,533,186.61,99463.13
2022-03-05,Beleza,428,95.01,40664.28
2022-03-05,Casa & Jardim,154,248.4,38253.6
2022-03-05,Eletrônicos,349,877.61,306285.89
2022-03-05,Esportes,121,331.71,40136.91
2022-03-05,Moda,458,183.17,83891.86
2022-03-06,Beleza,374,101.26,37871.24
2022-03-06,Casa & Jardim,246,273.46,67271.16
2022-03-06,Eletrônicos,337,912.89,307643.93
2022-03-06,Esportes,182,324.37,59035.34
2022-03-06,Moda,512,169.5,86784.0
2022-03-07,Beleza,313,90.94,28464.22
2022-03-07,Casa & Jardim,150,255.2,38280.0
2022-03-07,Eletrônicos,241,816.24,196713.84
2022-03-07,Esportes,97,322.44,31276.68
2022-03-07,Moda,396,193.15,76487.4
2022-03-08,Beleza,257,89.78,23073.46
2022-03-08,Casa & Jardim,122,277.99,33914.78
2022-03-08,Eletrônicos,187,820.74,153478.38
2022-03-08,Esportes,96,298.73,28678.08
2022-03-08,Moda,404,167.59,67706.36
2022-03-09,Beleza,339,98.87,33516.93
2022-03-09,Casa & Jardim,155,244.14,37841.7
2022-03-09,Eletrônicos,248,787.02,195180.96
2022-03-09,Esportes,131,300.51,39366.81
2022-03-09,Moda,365,173.14,63196.1
2022-03-10,Beleza,387,92.1,35642.7
2022-03-10,Casa & Jardim,172,261.31,44945.32
2022-03-10,Eletrônicos,259,789.0,204351.0
2022-03-10,Esportes,124,337.43,41841.32
2022-03-10,Moda,372,172.71,64248.12
2022-03-11,Beleza,275,102.36,28149.0
2022-03-11,Casa & Jardim,200,240.56,48112.0
2022-03-11,Eletrônicos,391,819.9,320580.9
2022-03-11,Esportes,116,330.31,38315.96
2022-03-11,Moda,419,173.43,72667.17
2022-03-12,Beleza,354,91.84,32511.36
2022-03-12,Casa & Jardim,161,245.91,39591.51
2022-03-12,Eletrônicos,325,801.71,260555.75
2022-03-12,Esportes,149,315.12,46952.88
2022-03-12,Moda,515,187.47,96547.05
2022-03-13,Beleza,358,95.98,34360.84
2022-03-13,Casa & Jardim,197,266.51,52502.47
2022-03-13,Eletrônicos,339,848.57,287665.23
2022-03-13,Esportes,181,314.56,56935.36
2022-03-13,Moda,579,167.48,96970.92
2022-03-14,Beleza,255,91.24,23266.2
2022-03-14,Casa & Jardim,160,268.93,43028.8
2022-03-14,Eletrônicos,280,814.32,228009.6
2022-03-14,Esportes,119,302.94,36049.86
2022-03-14,Moda,350,179.64,62874.0
2022-03-15,Beleza,282,101.02,28487.64
2022-03-15,Casa & Jardim,162,242.05,39212.1
2022-03-15,Eletrônicos,258,881.04,227308.32
2022-03-15,Esportes,113,296.79,33537.27
2022-03-15,Moda,261,175.6,45831.6
2022-03-16,Beleza,321,88.97,28559.37
2022-03-16,Casa & Jardim,145,264.69,38380.05
2022-03-16,Eletrônicos,296,868.16,256975.36
2022-03-16,Esportes,110,336.88,37056.8
2022-03-16,Moda,411,191.52,78714.72
2022-03-17,Beleza,344,89.96,30946.24
2022-03-17,Casa & Jardim,164,278.24,45631.36
2022-03-17,Eletrônicos,218,854.87,186361.66
2022-03-17,Esportes,137,330.44,45270.28
2022-03-17,Moda,385,192.58,74143.3
2022-03-18,Beleza,370,102.12,37784.4
2022-03-18,Casa & Jardim,177,253.95,44949.15
2022-03-18,Eletrônicos,259,787.55,203975.45
2022-03-18,Esportes,138,328.29,45304.02
2022-03-18,Moda,459,167.11,76703.49
2022-03-19,Beleza,443,97.69,43276.67
2022-03-19,Casa & Jardim,223,262.11,58450.53
2022-03-19,Eletrônicos,312,862.36,269056.32
2022-03-19,Esportes,172,318.2,54730.4
2022-03-19,Moda,409,186.65,76339.85
2022-03-20,Beleza,400,91.98,36792.0
2022-03-20,Casa & Jardim,245,273.09,66907.05
2022-03-20,Eletrônicos,272,869.74,236569.28
2022-03-20,Esportes,143,304.06,43480.58
2022-03-20,Moda,455,193.86,88206.3
2022-03-21,Beleza,280,88.81,24866.8
2022-03-21,Casa & Jardim,153,264.65,40491.45
2022-03-21,Eletrônicos,247,805.71,199010.37
2022-03-21,Esportes,151,320.4,48380.4
2022-03-21,Moda,398,171.31,68181.38
2022-03-22,Beleza,259,89.59,23203.81
2022-03-22,Casa & Jardim,130,243.6,31668.0
2022-03-22,Eletrônicos,212,909.4,192792.8
2022-03-22,Esportes,134,332.06,44496.04
2022-03-22,Moda,300,181.88,54564.0
2022-03-23,Beleza,301,99.49,29946.49
2022-03-23,Casa & Jardim,149,253.96,37840.04
2022-03-23,Eletrônicos,302,800.7,241811.4
2022-03-23,Esportes,122,328.39,40063.58
2022-03-23,Moda,391,183.13,71603.83
2022-03-24,Beleza,285,89.55,25521.75
2022-03-24,Casa & Jardim,207,266.58,55182.06
2022-03-24,Eletrônicos,235,907.76,213323.6
2022-03-24,Esportes,129,320.02,41282.58
2022-03-24,Moda,380,175.67,66754.6
2022-03-25,Beleza,374,90.4,33809.6
2022-03-25,Casa & Jardim,171,242.12,41402.52
2022-03-25,Eletrônicos,281,901.32,253270.92
2022-03-25,Esportes,130,340.18,44223.4
2022-03-25,Moda,395,190.1,75089.5
2022-03-26,Beleza,369,88.88,32796.72
2022-03-26,Casa & Jardim,188,245.72,46195.36
2022-03-26,Eletrônicos,368,893.14,328675.52
2022-03-26,Esportes,174,301.98,52544.52
2022-03-26,Moda,447,181.76,81246.72
2022-03-27,Beleza,381,97.37,37097.97
2022-03-27,Casa & Jardim,204,273.62,55818.48
2022-03-27,Eletrônicos,283,857.51,242675.33
2022-03-27,Esportes,122,332.61,40578.42
2022-03-27,Moda,429,190.37,81668.73
2022-03-28,Beleza,343,95.57,32780.51
2022-03-28,Casa & Jardim,158,246.2,38899.6
2022-03-28,Eletrônicos,202,794.66,160521.32
2022-03-28,Esportes,143,341.33,48810.19
2022-03-28,Moda,364,186.42,67856.88
2022-03-29,Beleza,335,96.96,32481.6
2022-03-29,Casa & Jardim,144,275.78,39712.32
2022-03-29,Eletrônicos,242,904.02,218772.84
2022-03-29,Esportes,122,330.52,40323.44
2022-03-29,Moda,357,181.25,64706.25
2022-03-30,Beleza,354,91.44,32369.76
2022-03-30,Casa & Jardim,136,260.1,35373.6
2022-03-30,Eletrônicos,259,828.11,214480.49
2022-03-30,Esportes,107,294.47,31508.29
2022-03-30,Moda,354,167.95,59454.3
2022-03-31,Beleza,317,100.94,31997.98
2022-03-31,Casa & Jardim,175,269.63,47185.25
2022-03-31,Eletrônicos,285,829.49,236404.65
2022-03-31,Esportes,151,300.55,45383.05
2022-03-31,Moda,336,170.37,57244.32
2022-04-01,Beleza,357,96.06,34293.42
2022-04-01,Casa & Jardim,207,265.4,54937.8
2022-04-01,Eletrônicos,330,902.64,297871.2
2022-04-01,Esportes,189,315.77,59680.53
2022-04-01,Moda,322,192.84,62094.48
2022-04-02,Beleza,463,97.65,45211.95
2022-04-02,Casa & Jardim,250,255.97,63992.5
2022-04-02,Eletrônicos,367,888.06,325918.02
2022-04-02,Esportes,178,331.81,59062.18
2022-04-02,Moda,551,178.91,98579.41
2022-04-03,Beleza,386,102.3,39487.8
2022-04-03,Casa & Jardim,232,267.38,62032.16
2022-04-03,Eletrônicos,321,803.98,258077.58
2022-04-03,Esportes,152,304.23,46242.96
2022-04-03,Moda,573,177.46,101684.58
2022-04-04,Beleza,350,89.03,31160.5
2022-04-04,Casa & Jardim,206,257.02,52946.12
2022-04-04,Eletrônicos,267,904.2,241421.4
2022-04-04,Esportes,125,337.41,42176.25
2022-04-04,Moda,413,167.39,69132.07
2022-04-05,Beleza,286,99.27,28391.22
2022-04-05,Casa & Jardim,179,245.29,43906.91
2022-04-05,Eletrônicos,260,782.69,203499.4
2022-04-05,Esportes,128,300.42,38453.76
2022-04-05,Moda,474,180.36,85490.64
2022-04-06,Beleza,319,96.99,30939.81
2022-04-06,Casa & Jardim,185,273.85,50662.25
2022-04-06,Eletrônicos,244,803.87,196144.28
2022-04-06,Esportes,132,345.1,45553.2
2022-04-06,Moda,383,167.1,63999.3
2022-04-07,Beleza,371,93.94,34851.74
2022-04-07,Casa & Jardim,206,257.14,52970.84
2022-04-07,Eletrônicos,344,870.67,299510.48
2022-04-07,Esportes,117,324.11,37920.87
2022-04-07,Moda,478,188.24,89978.72
2022-04-08,Beleza,307,98.98,30386.86
2022-04-08,Casa & Jardim,205,254.97,52268.85
2022-04-08,Eletrônicos,329,812.5,267312.5
2022-04-08,Esportes,158,340.69,53829.02
2022-04-08,Moda,423,170.34,72053.82
2022-04-09,Beleza,407,101.63,41363.41
2022-04-09,Casa & Jardim,226,274.32,61996.32
2022-04-09,Eletrônicos,316,826.25,261095.0
2022-04-09,Esportes,195,304.02,59283.9
2022-04-09,Moda,475,175.11,83177.25
2022-04-10,Beleza,450,91.24,41058.0
2022-04-10,Casa & Jardim,236,259.34,61204.24
2022-04-10,Eletrônicos,384,883.52,339271.68
2022-04-10,Esportes,145,326.39,47326.55
2022-04-10,Moda,522,171.5,89523.0
2022-04-11,Beleza,344,88.42,30416.48
2022-04-11,Casa & Jardim,134,263.04,35247.36
2022-04-11,Eletrônicos,293,871.44,255331.92
2022-04-11,Esportes,109,310.43,33836.87
2022-04-11,Moda,466,190.88,88950.08
2022-04-12,Beleza,326,97.02,31628.52
2022-04-12,Casa & Jardim,166,252.73,41953.18
2022-04-12,Eletrônicos,265,859.29,227711.85
2022-04-12,Esportes,112,303.56,33998.72
2022-04-12,Moda,358,193.97,69441.26
2022-04-13,Beleza,319,98.36,31376.84
2022-04-13,Casa & Jardim,171,269.5,46084.5
2022-04-13,Eletrônicos,259,818.07,211880.13
2022-04-13,Esportes,124,306.96,38063.04
2022-04-13,Moda,325,187.83,61044.75
2022-04-14,Beleza,377,87.83,33111.91
2022-04-14,Casa & Jardim,188,253.59,47674.92
2022-04-14,Eletrônicos,252,815.18,205425.36
2022-04-14,Esportes,146,317.36,46334.56
2022-04-14,Moda,451,181.11,81680.61
2022-04-15,Beleza,341,93.1,31747.1
2022-04-15,Casa & Jardim,229,278.59,63797.11
2022-04-15,Eletrônicos,308,903.32,278222.56
2022-04-15,Esportes,171,344.13,58846.23
2022-04-15,Moda,454,179.94,81692.76
2022-04-16,Beleza,388,99.91,38765.08
2022-04-16,Casa & Jardim,248,255.85,63450.8
2022-04-16,Eletrônicos,371,867.83,321964.93
2022-04-16,Esportes,154,316.83,48791.82
2022-04-16,Moda,542,189.28,102589.76
2022-04-17,Beleza,450,90.97,40936.5
2022-04-17,Casa & Jardim,209,280.4,58603.6
2022-04-17,Eletrônicos,351,860.46,302021.46
2022-04-17,Esportes,172,302.45,52021.4
2022-04-17,Moda,470,176.56,82983.2
2022-04-18,Beleza,283,96.46,27298.18
2022-04-18,Casa & Jardim,188,240.27,45170.76
2022-04-18,Eletrônicos,311,848.98,264032.78
2022-04-18,Esportes,142,329.76,46825.92
2022-04-18,Moda,389,173.87,67635.43
2022-04-19,Beleza,382,89.03,34009.46
2022-04-19,Casa & Jardim,200,267.82,53564.0
2022-04-19,Eletrônicos,272,820.19,223091.68
2022-04-19,Esportes,157,339.95,53372.15
2022-04-19,Moda,312,188.43,58790.16
2022-04-20,Beleza,362,102.59,37137.58
2022-04-20,Casa & Jardim,197,244.21,48109.37
2022-04-20,Eletrônicos,241,785.31,189259.71
2022-04-20,Esportes,131,316.95,41520.45
2022-04-20,Moda,492,188.58,92781.36
2022-04-21,Beleza,318,90.61,28813.98
2022-04-21,Casa & Jardim,153,251.98,38552.94
2022-04-21,Eletrônicos,243,909.9,221105.7
2022-04-21,Esportes,136,319.42,43441.12
2022-04-21,Moda,462,177.0,81774.0
2022-04-22,Beleza,426,102.07,43481.82
2022-04-22,Casa & Jardim,217,261.93,56838.81
2022-04-22,Eletrônicos,331,911.73,301782.63
2022-04-22,Esportes,157,325.28,51068.96
2022-04-22,Moda,462,170.15,78609.3
2022-04-23,Beleza,379,101.32,38400.28
2022-04-23,Casa & Jardim,201,246.31,49508.31
2022-04-23,Eletrônicos,347,784.1,272082.7
2022-04-23,Esportes,164,311.12,51023.68
2022-04-23,Moda,580,185.64,107671.2
2022-04-24,Beleza,515,89.46,46071.9
2022-04-24,Casa & Jardim,220,256.59,56449.8
2022-04-24,Eletrônicos,382,908.25,346951.5
2022-04-24,Esportes,170,326.31,55472.7
2022-04-24,Moda,477,190.29,90768.33
2022-04-25,Beleza,323,102.26,33029.98
2022-04-25,Casa & Jardim,178,242.7,43200.6
2022-04-25,Eletrônicos,277,913.05,252914.85
2022-04-25,Esportes,99,316.84,31367.16
2022-04-25,Moda,435,191.7,83389.5
2022-04-26,Beleza,290,91.53,26543.7
